Step	DeathCause	Age	Speed	Sight	ReproductiveUrge	LifeSpan	Charm	PregnancyDuration	Status	Starving	Drying
50	HUNGER	3,504999	7,974875	42	36	5,123458	62	47	SEARCHINGFOOD	15	29
51	THIRST	5,505	5,062101	67	36	5,5739	45	39	SEARCHINGDRINK	17	32
51	AGE	5,505	9,787627	46	40	5,087003	30	33	SEARCHINGMATE	15	29
51	AGE	5,505	9,850484	63	48	5,127391	95	50	SEARCHINGMATE	15	33
51	AGE	5,505	6,18692	46	36	5,29739	70	34	EATING	20	28
51	AGE	5,505	4,1829	67	33	5,158384	39	47	MOVING	23	30
51	THIRST	5,505	1,630361	32	39	5,722383	42	54	MOVING	23	30
51	HUNGER	2,504999	4,896845	52	34	4,977729	69	48	SEARCHINGFOOD	19	31
52	HUNGER	2,504999	5,042006	58	32	4,998272	76	45	SEARCHINGFOOD	18	34
53	HUNGER	3,504999	6,764672	66	34	5,0339	66	42	MOVING	19	32
53	HUNGER	2,504999	9,266055	43	45	5,199314	48	48	WAITING	19	27
53	HUNGER	3,504999	6,762128	56	35	4,797092	79	36	MOVING	20	28
54	HUNGER	3,004999	7,325712	31	41	4,349452	50	54	RESTING	16	26
54	HUNGER	3,504999	6,802553	67	35	4,961832	76	47	SEARCHINGFOOD	19	30
54	DROWN	0,3299998	3,669486	44	40	4,455002	67	49	SEARCHINGFOOD	19	30
54	HUNGER	3,504999	6,871135	48	38	4,697311	76	43	MOVING	21	29
55	HUNGER	3,504999	5,964919	62	32	4,655714	79	48	MOVING	17	28
55	HUNGER	2,504999	5,046855	58	39	4,165545	59	33	WAITING	16	24
55	HUNGER	3,504999	5,181532	31	46	5,205616	43	42	MOVING	17	30
55	DROWN	1,504999	8,435935	46	41	5,811348	38	44	SEARCHINGFOOD	19	25
55	DROWN	3,504999	5,98656	54	36	4,963294	72	37	SEARCHINGFOOD	21	27
56	HUNGER	5,505	2,94203	48	35	5,590244	31	52	MOVING	21	26
56	HUNGER	3,504999	5,636742	31	43	5,323254	45	43	SEARCHINGFOOD	17	29
56	HUNGER	3,504999	8,222054	42	38	4,987405	61	46	RESTING	16	27
56	HUNGER	3,504999	6,25714	57	36	4,883762	76	49	MOVING	19	28
58	HUNGER	3,504999	7,134205	34	39	4,70128	59	49	MOVING	14	30
58	HUNGER	2,504999	5,305101	31	42	5,151297	37	34	SEARCHINGFOOD	16	28
58	HUNGER	3,504999	5,686882	59	39	4,567424	58	34	MOVING	17	25
58	HUNGER	3,004999	3,165802	50	39	5,199845	58	52	SEARCHINGFOOD	19	27
59	HUNGER	3,504999	5,130593	63	37	4,553391	54	33	MOVING	17	26
59	AGE	6,005	8,391409	51	45	5,513713	33	43	MOVING	18	28
59	AGE	6,005	4,805606	42	44	5,571894	43	35	SEARCHINGFOOD	23	31
59	HUNGER	3,504999	5,093824	62	40	4,412451	58	31	MOVING	15	27
60	DROWN	2,004999	4,404436	67	38	4,335132	54	45	SEARCHINGMATE	24	31
