Step	DeathCause	Age	Speed	Sight	ReproductiveUrge	LifeSpan	Charm	PregnancyDuration	Status	Starving	Drying
15	AGE	5,005	5,94012	44	38	4,757073	83	50	SEARCHINGMATE	20	26
15	AGE	5,005	7,097891	38	36	4,913718	20	57	SEARCHINGDRINK	16	29
15	AGE	5,005	4,605589	52	44	4,577859	22	43	SEARCHINGFOOD	17	27
15	HUNGER	2,504999	6,646626	47	38	4,550673	37	39	SEARCHINGFOOD	18	30
15	AGE	5,005	1,123671	48	39	4,662904	57	53	SEARCHINGMATE	24	31
15	HUNGER	3,004999	3,14817	44	40	4,897212	56	40	SEARCHINGFOOD	18	28
15	HUNGER	3,004999	3,283663	48	43	5,706716	49	39	SEARCHINGFOOD	17	32
16	HUNGER	3,004999	4,494444	46	40	6,059441	64	29	SEARCHINGFOOD	23	25
16	HUNGER	3,004999	6,296796	46	31	4,238993	80	52	SEARCHINGFOOD	25	29
16	DROWN	0,9849992	4,552944	70	50	5,368684	42	46	SEARCHINGFOOD	17	30
16	HUNGER	2,504999	2,552142	41	36	5,413878	75	47	SEARCHINGFOOD	21	32
16	HUNGER	3,004999	3,797871	52	40	5,459298	58	33	SEARCHINGFOOD	20	27
16	HUNGER	2,504999	4,759435	40	33	5,9442	41	51	SEARCHINGFOOD	22	30
16	DROWN	2,504999	8,962601	54	35	5,567352	57	44	SEARCHINGFOOD	19	32
16	HUNGER	3,004999	5,830025	41	37	5,115829	69	51	WAITING	20	33
16	HUNGER	2,504999	5,052683	44	36	6,011543	38	53	SEARCHINGFOOD	22	30
16	HUNGER	3,004999	6,355458	47	30	4,476176	90	57	SEARCHINGFOOD	22	28
16	HUNGER	3,004999	5,020544	35	40	4,711008	52	43	SEARCHINGFOOD	21	36
16	HUNGER	3,004999	8,8555	37	30	5,331331	43	38	SEARCHINGFOOD	21	31
16	HUNGER	3,504999	3,696671	53	46	5,521035	50	40	MOVING	20	28
17	HUNGER	2,504999	2,825043	38	36	4,707822	80	42	SEARCHINGFOOD	22	31
17	AGE	5,505	9,973643	37	42	5,29288	21	45	SEARCHINGDRINK	20	34
17	AGE	5,505	8,170115	46	30	5,336991	97	59	EATING	21	31
17	AGE	5,505	6,787397	63	47	5,382823	82	35	SEARCHINGFOOD	18	31
17	AGE	5,505	9,540763	36	44	5,503732	63	43	SEARCHINGDRINK	24	29
17	AGE	5,505	8,42583	63	31	5,246652	51	56	SEARCHINGFOOD	19	31
17	AGE	5,505	5,444998	35	31	5,101147	68	50	SEARCHINGFOOD	17	27
17	AGE	5,505	6,288466	66	33	5,339914	84	48	EATING	20	31
17	AGE	5,505	8,485888	62	48	5,410942	82	42	EATING	18	31
17	AGE	5,505	8,223234	60	38	5,063788	48	40	SEARCHINGDRINK	23	25
17	AGE	5,505	5,948632	67	38	5,057922	40	57	SEARCHINGMATE	18	27
17	DROWN	3,504999	7,05586	61	45	4,44006	53	37	SEARCHINGFOOD	16	32
17	AGE	5,505	2,93434	61	49	5,111727	39	53	MOVING	21	26
17	HUNGER	3,004999	7,271564	46	36	4,659613	87	49	SEARCHINGFOOD	26	33
17	HUNGER	3,004999	7,704885	50	30	4,726869	59	53	WAITING	18	26
17	HUNGER	5,505	9,862355	41	30	5,834738	37	46	SEARCHINGFOOD	16	34
17	HUNGER	3,004999	7,178335	47	34	4,644855	79	57	SEARCHINGFOOD	26	28
17	HUNGER	3,004999	9,038363	36	33	4,577199	39	40	SEARCHINGFOOD	18	35
17	HUNGER	2,504999	5,185183	47	40	5,917705	36	54	SEARCHINGFOOD	22	32
17	HUNGER	3,504999	3,360858	52	43	5,755928	54	40	SEARCHINGFOOD	18	33
17	HUNGER	3,504999	7,527255	66	47	4,415559	51	36	SEARCHINGFOOD	15	30
